INCIDENT_DISPATCH_AREA,COMBO_COMMUNITY,INCIDENT_RESPONSE_SECONDS_QY
M1,1,503.5648308224253
M1,2,568.1875
M1,3,558.2
M1,4,545.1666666666666
M2,1,471.84863569321533
M2,2,465.2927891946845
M2,3,795.1333333333333
M2,4,541.2857142857143
M3,1,448.82608695652175
M3,2,508.4120773153902
M3,3,619.7809523809524
M3,4,611.3333333333334
M4,1,729.25
M4,2,477.75
M4,3,604.8522050059595
M4,4,676.074074074074
M5,1,200.0
M5,2,586.5877192982456
M5,3,589.3472329112153
M5,4,681.3166666666667
M6,1,550.6666666666666
M6,2,1105.0
M6,3,1002.6666666666666
M6,4,739.577781983346
M7,1,536.2
M7,2,615.7857142857143
M7,3,894.7740009186955
M7,4,704.4044665012407
M8,1,2189.6666666666665
M8,2,533.0
M8,3,382.5
M8,4,758.317654028436
M9,1,401.0
M9,2,917.0
M9,3,833.6666666666666
M9,4,807.9260019444745
